t,h
5.167968750000000000e+01,-3.388734685381348724e-26
5.168066406250000000e+01,5.288740613708191001e-26
5.168164062500000000e+01,-2.552165264348031266e-26
5.168261718750000000e+01,-4.762288434933424037e-27
5.168359375000000000e+01,4.327304321036364831e-26
5.168457031250000000e+01,-4.931654635198273249e-26
5.168554687500000000e+01,1.542874838974488610e-26
5.168652343750000000e+01,3.199590472212710210e-26
5.168750000000000000e+01,-4.679890712145068583e-26
5.168847656250000000e+01,4.092190598677834917e-26
5.168945312500000000e+01,3.293990608046804892e-27
5.169042968750000000e+01,-4.736244111345587119e-26
5.169140625000000000e+01,6.152042906950776043e-26
5.169238281250000000e+01,-1.353340248764831000e-26
5.169335937500000000e+01,-3.242061578148805353e-26
5.169433593750000000e+01,7.230464020547196768e-26
5.169531250000000000e+01,-2.547450125670534214e-26
5.169628906250000000e+01,-7.452583479493497720e-27
5.169726562500000000e+01,5.442706904916888265e-26
5.169824218750000000e+01,-2.761896725745659474e-26
5.169921875000000000e+01,-2.777009852867833045e-27
5.170019531250000000e+01,4.308753444254547772e-26
5.170117187500000000e+01,-5.902129937579329409e-26
5.170214843750000000e+01,2.446060322014905315e-26
5.170312500000000000e+01,6.998839294940798503e-27
5.170410156250000000e+01,-4.882261085946880011e-26
5.170507812500000000e+01,4.851385202947445664e-26
5.170605468750000000e+01,4.221200644849761099e-27
5.170703125000000000e+01,-1.798826049180377047e-26
5.170800781250000000e+01,5.161961795107311266e-26
5.170898437500000000e+01,-2.979380549330243082e-26
5.170996093750000000e+01,-1.417313387252917068e-26
5.171093750000000000e+01,5.369145952244306796e-26
5.171191406250000000e+01,-4.399821808611191251e-26
5.171289062500000000e+01,8.306973704413870929e-27
5.171386718750000000e+01,5.223638311106851104e-26
5.171484375000000000e+01,-3.924537969332820666e-26
5.171582031250000000e+01,2.828493006099522691e-26
5.171679687500000000e+01,2.474666625837241720e-26
5.171777343750000000e+01,-5.533010811985441332e-26
5.171875000000000000e+01,5.818987078512514790e-26
5.171972656250000000e+01,-1.361159504856413295e-26
5.172070312500000000e+01,-4.052055532845748304e-26
5.172167968750000000e+01,5.823555962272890216e-26
5.172265625000000000e+01,-1.499437908363703979e-26
5.172363281250000000e+01,-2.813813346658261600e-26
5.172460937500000000e+01,3.952139236846771037e-26
5.172558593750000000e+01,-2.362767489043547436e-26
5.172656250000000000e+01,1.436914928682161094e-26
5.172753906250000000e+01,4.221786640601638890e-26
5.172851562500000000e+01,-4.022746583406570052e-26
5.172949218750000000e+01,5.052041783439933894e-27
5.173046875000000000e+01,2.182382085871348162e-26
5.173144531250000000e+01,-6.233599845780050084e-26
5.173242187500000000e+01,3.593909150206386777e-26
5.173339843750000000e+01,1.302630719589084128e-26
5.173437500000000000e+01,-5.298665605986773600e-26
5.173535156250000000e+01,5.938668417346656108e-26
5.173632812500000000e+01,-1.071189659213926847e-26
5.173730468750000000e+01,-2.526457618296047181e-26
5.173828125000000000e+01,6.717013404722171314e-26
5.173925781250000000e+01,-3.611607233170478235e-26
5.174023437500000000e+01,-3.858151508797130893e-27
5.174121093750000000e+01,4.728806816465873836e-26
5.174218750000000000e+01,-4.692198076298024591e-26
5.174316406250000000e+01,-8.726388591238702887e-27
5.174414062500000000e+01,2.579059852550503131e-26
5.174511718750000000e+01,-3.750603969310762202e-26
5.174609375000000000e+01,2.610180848591291099e-26
5.174707031250000000e+01,1.619013035988834000e-26
5.174804687500000000e+01,-4.098453097177107469e-26
5.174902343750000000e+01,3.647142467766751092e-26
5.175000000000000000e+01,3.632542048332000189e-27
5.175097656250000000e+01,-1.681397444540317733e-26
5.175195312500000000e+01,7.108595625861258103e-26
5.175292968750000000e+01,-2.237610312273238654e-26
5.175390625000000000e+01,3.607555327120811475e-27
5.175488281250000000e+01,5.329225871455175210e-26
5.175585937500000000e+01,-2.526371590486242081e-26
5.175683593750000000e+01,1.202939683248208393e-27
5.175781250000000000e+01,4.701788237430927592e-26
5.175878906250000000e+01,-4.765224581223071681e-26
5.175976562500000000e+01,1.986070176628243219e-26
5.176074218750000000e+01,1.452436197713681144e-26
5.176171875000000000e+01,-5.097138246250162196e-26
5.176269531250000000e+01,2.950799396608715136e-26
5.176367187500000000e+01,1.307854340624331482e-26
5.176464843750000000e+01,-3.660242312457400471e-26
5.176562500000000000e+01,6.112714342561030014e-26
5.176660156250000000e+01,1.229560250021408441e-26
5.176757812500000000e+01,-2.508646906238354210e-26
5.176855468750000000e+01,5.254347668427254784e-26
5.176953125000000000e+01,-2.249287745190810582e-26
5.177050781250000000e+01,-3.998553184715449846e-27
5.177148437500000000e+01,4.505751311904068368e-26
5.177246093750000000e+01,-4.902936891286296334e-26
5.177343750000000000e+01,1.344559871214857500e-26
5.177441406250000000e+01,2.184356822933387902e-26
5.177539062500000000e+01,-4.308970815005073517e-26
5.177636718750000000e+01,3.297117422973063521e-26
5.177734375000000000e+01,-3.304354800361912860e-27
5.177832031250000000e+01,-4.294741501463152405e-26
5.177929687500000000e+01,3.889324273748645273e-26
5.178027343750000000e+01,-8.504228858775348058e-27
5.178125000000000000e+01,-5.473926193057738989e-26
5.178222656250000000e+01,6.230683001302690774e-26
5.178320312500000000e+01,-3.070379601130912770e-26
5.178417968750000000e+01,-2.298994421191384098e-26
5.178515625000000000e+01,4.684851674000196399e-26
5.178613281250000000e+01,-3.855745428512369277e-26
5.178710937500000000e+01,9.957767393452452744e-27
5.178808593750000000e+01,3.140096061566659274e-26
5.178906250000000000e+01,-5.961898553864940323e-26
5.179003906250000000e+01,1.865953117122372733e-26
5.179101562500000000e+01,1.622153193082821679e-26
5.179199218750000000e+01,-2.675343385013864436e-26
5.179296875000000000e+01,4.470785330598082781e-26
5.179394531250000000e+01,1.465985064082995815e-26
5.179492187500000000e+01,-5.316130581159803792e-26
5.179589843750000000e+01,4.262135632462995338e-26
5.179687500000000000e+01,-3.198629479604783150e-26
5.179785156250000000e+01,-2.152087060989275844e-26
